[kaggle_environments.envs.open_spiel_env.open_spiel_env] INFO: Successfully loaded OpenSpiel environments: 41.
[kaggle_environments.envs.open_spiel_env.open_spiel_env] INFO: OpenSpiel games skipped: 0.
Loading 42 agents: avikdas567_heuristic, biohack44_day2, daniilkrasnovvv_conservative_prob, jek1wantaufik_lucario, kiyotah_abomasnow, kiyotah_dragapult, kiyotah_iono, kojimar_lucario, makimakiai_rl, makthanithin_1084_baseline, makthanithin_improved_prob, mechi22_alakazam, pixiux_lucario_v63, plamen06_steel, pllinas_alakazam, prvsiyan_control_v11, prvsiyan_grimbelief_alakazam, romanrozen_strong_start, ryotasueyoshi_alakazam, tb_abomasnow, tb_alakazam, tb_archaludon, tb_dragapult, tb_heuristic, tb_iono, tb_lucario, tb_rulecore, tb_search, tb_starmie, wmh_alakazam, wmh_bellibolt, wmh_chandelure, wmh_froslass, wmh_garchomp, wmh_grimmsnarl, wmh_kangaskhan, wmh_megastarmie, wmh_mewtwo, wmh_ogerpon, wmh_trevenant, wmh_typhlosion, random_legal
[1/903] avikdas567_heuristic vs avikdas567_heuristic: avikdas567_heuristic 1-1  (2 games, 0.4s, 0.18s/game)
[2/903] avikdas567_heuristic vs biohack44_day2: avikdas567_heuristic 0-6  (6 games, 0.8s, 0.13s/game)
[3/903] avikdas567_heuristic vs daniilkrasnovvv_conservative_prob: avikdas567_heuristic 0-6  (6 games, 0.6s, 0.10s/game)
[4/903] avikdas567_heuristic vs jek1wantaufik_lucario: avikdas567_heuristic 2-4  (6 games, 1.2s, 0.20s/game)
[5/903] avikdas567_heuristic vs kiyotah_abomasnow: avikdas567_heuristic 0-6  (6 games, 0.9s, 0.15s/game)
[6/903] avikdas567_heuristic vs kiyotah_dragapult: avikdas567_heuristic 0-6  (6 games, 1.2s, 0.20s/game)
[7/903] avikdas567_heuristic vs kiyotah_iono: avikdas567_heuristic 0-6  (6 games, 1.5s, 0.25s/game)
[8/903] avikdas567_heuristic vs kojimar_lucario: avikdas567_heuristic 0-6  (6 games, 0.9s, 0.15s/game)
[9/903] avikdas567_heuristic vs makimakiai_rl: avikdas567_heuristic 4-2  (6 games, 1.2s, 0.19s/game)
[10/903] avikdas567_heuristic vs makthanithin_1084_baseline: avikdas567_heuristic 0-6  (6 games, 0.6s, 0.11s/game)
[11/903] avikdas567_heuristic vs makthanithin_improved_prob: avikdas567_heuristic 0-6  (6 games, 1.4s, 0.23s/game)
[12/903] avikdas567_heuristic vs mechi22_alakazam: avikdas567_heuristic 0-6  (6 games, 1.1s, 0.19s/game)
[13/903] avikdas567_heuristic vs pixiux_lucario_v63: avikdas567_heuristic 0-6  (6 games, 0.9s, 0.15s/game)
[14/903] avikdas567_heuristic vs plamen06_steel: avikdas567_heuristic 0-6  (6 games, 1.0s, 0.16s/game)
[15/903] avikdas567_heuristic vs pllinas_alakazam: avikdas567_heuristic 0-6  (6 games, 4.0s, 0.66s/game)
[16/903] avikdas567_heuristic vs prvsiyan_control_v11: avikdas567_heuristic 3-3  (6 games, 1.3s, 0.21s/game)
[17/903] avikdas567_heuristic vs prvsiyan_grimbelief_alakazam: avikdas567_heuristic 5-1  (6 games, 1.3s, 0.21s/game)
[18/903] avikdas567_heuristic vs romanrozen_strong_start: avikdas567_heuristic 0-6  (6 games, 1.0s, 0.17s/game)
[19/903] avikdas567_heuristic vs ryotasueyoshi_alakazam: avikdas567_heuristic 1-5  (6 games, 1.0s, 0.17s/game)
[20/903] avikdas567_heuristic vs tb_abomasnow: avikdas567_heuristic 1-5  (6 games, 0.6s, 0.09s/game)
[21/903] avikdas567_heuristic vs tb_alakazam: avikdas567_heuristic 1-5  (6 games, 1.1s, 0.19s/game)
[22/903] avikdas567_heuristic vs tb_archaludon: avikdas567_heuristic 0-6  (6 games, 0.7s, 0.12s/game)
[23/903] avikdas567_heuristic vs tb_dragapult: avikdas567_heuristic 1-5  (6 games, 1.1s, 0.19s/game)
[24/903] avikdas567_heuristic vs tb_heuristic: avikdas567_heuristic 3-3  (6 games, 1.5s, 0.25s/game)
[25/903] avikdas567_heuristic vs tb_iono: avikdas567_heuristic 0-6  (6 games, 2.1s, 0.35s/game)
[26/903] avikdas567_heuristic vs tb_lucario: avikdas567_heuristic 0-6  (6 games, 0.8s, 0.14s/game)
[27/903] avikdas567_heuristic vs tb_rulecore: avikdas567_heuristic 1-5  (6 games, 1.1s, 0.19s/game)
[28/903] avikdas567_heuristic vs tb_search: avikdas567_heuristic 2-4  (6 games, 1.0s, 0.17s/game)
[29/903] avikdas567_heuristic vs tb_starmie: avikdas567_heuristic 5-1  (6 games, 1.2s, 0.20s/game)
[30/903] avikdas567_heuristic vs wmh_alakazam: avikdas567_heuristic 0-6  (6 games, 1.0s, 0.17s/game)
[31/903] avikdas567_heuristic vs wmh_bellibolt: avikdas567_heuristic 2-4  (6 games, 1.8s, 0.31s/game)
[32/903] avikdas567_heuristic vs wmh_chandelure: avikdas567_heuristic 3-3  (6 games, 1.6s, 0.27s/game)
[33/903] avikdas567_heuristic vs wmh_froslass: avikdas567_heuristic 0-6  (6 games, 0.6s, 0.09s/game)
[34/903] avikdas567_heuristic vs wmh_garchomp: avikdas567_heuristic 0-6  (6 games, 1.1s, 0.19s/game)
[35/903] avikdas567_heuristic vs wmh_grimmsnarl: avikdas567_heuristic 2-4  (6 games, 0.9s, 0.16s/game)
[36/903] avikdas567_heuristic vs wmh_kangaskhan: avikdas567_heuristic 4-2  (6 games, 0.9s, 0.15s/game)
[37/903] avikdas567_heuristic vs wmh_megastarmie: avikdas567_heuristic 0-6  (6 games, 0.5s, 0.08s/game)
[38/903] avikdas567_heuristic vs wmh_mewtwo: avikdas567_heuristic 3-3  (6 games, 1.2s, 0.20s/game)
[39/903] avikdas567_heuristic vs wmh_ogerpon: avikdas567_heuristic 4-2  (6 games, 1.7s, 0.29s/game)
[40/903] avikdas567_heuristic vs wmh_trevenant: avikdas567_heuristic 1-5  (6 games, 1.2s, 0.20s/game)
[41/903] avikdas567_heuristic vs wmh_typhlosion: avikdas567_heuristic 1-5  (6 games, 1.1s, 0.18s/game)
[42/903] avikdas567_heuristic vs random_legal: avikdas567_heuristic 3-3  (6 games, 0.7s, 0.11s/game)
[43/903] biohack44_day2 vs biohack44_day2: biohack44_day2 2-0  (2 games, 0.2s, 0.08s/game)
[44/903] biohack44_day2 vs daniilkrasnovvv_conservative_prob: biohack44_day2 0-6  (6 games, 0.8s, 0.14s/game)
[45/903] biohack44_day2 vs jek1wantaufik_lucario: biohack44_day2 5-1  (6 games, 1.1s, 0.18s/game)
[46/903] biohack44_day2 vs kiyotah_abomasnow: biohack44_day2 4-2  (6 games, 0.7s, 0.12s/game)
[47/903] biohack44_day2 vs kiyotah_dragapult: biohack44_day2 6-0  (6 games, 1.6s, 0.27s/game)
[48/903] biohack44_day2 vs kiyotah_iono: biohack44_day2 1-5  (6 games, 1.7s, 0.28s/game)
[49/903] biohack44_day2 vs kojimar_lucario: biohack44_day2 1-5  (6 games, 0.7s, 0.12s/game)
[50/903] biohack44_day2 vs makimakiai_rl: biohack44_day2 6-0  (6 games, 1.2s, 0.20s/game)
[51/903] biohack44_day2 vs makthanithin_1084_baseline: biohack44_day2 1-5  (6 games, 0.7s, 0.12s/game)
[52/903] biohack44_day2 vs makthanithin_improved_prob: biohack44_day2 2-4  (6 games, 1.1s, 0.19s/game)
[53/903] biohack44_day2 vs mechi22_alakazam: biohack44_day2 0-6  (6 games, 0.8s, 0.14s/game)
[54/903] biohack44_day2 vs pixiux_lucario_v63: biohack44_day2 1-5  (6 games, 1.1s, 0.19s/game)
[55/903] biohack44_day2 vs plamen06_steel: biohack44_day2 1-5  (6 games, 0.8s, 0.13s/game)
[56/903] biohack44_day2 vs pllinas_alakazam: biohack44_day2 0-6  (6 games, 4.3s, 0.71s/game)
[57/903] biohack44_day2 vs prvsiyan_control_v11: biohack44_day2 6-0  (6 games, 1.3s, 0.21s/game)
[58/903] biohack44_day2 vs prvsiyan_grimbelief_alakazam: biohack44_day2 6-0  (6 games, 1.1s, 0.19s/game)
[59/903] biohack44_day2 vs romanrozen_strong_start: biohack44_day2 1-5  (6 games, 0.8s, 0.14s/game)
[60/903] biohack44_day2 vs ryotasueyoshi_alakazam: biohack44_day2 1-5  (6 games, 0.8s, 0.13s/game)
[61/903] biohack44_day2 vs tb_abomasnow: biohack44_day2 6-0  (6 games, 0.7s, 0.11s/game)
[62/903] biohack44_day2 vs tb_alakazam: biohack44_day2 1-5  (6 games, 0.8s, 0.13s/game)
[63/903] biohack44_day2 vs tb_archaludon: biohack44_day2 1-5  (6 games, 0.7s, 0.12s/game)
[64/903] biohack44_day2 vs tb_dragapult: biohack44_day2 6-0  (6 games, 1.4s, 0.24s/game)
[65/903] biohack44_day2 vs tb_heuristic: biohack44_day2 6-0  (6 games, 1.2s, 0.20s/game)
[66/903] biohack44_day2 vs tb_iono: biohack44_day2 0-6  (6 games, 1.2s, 0.21s/game)
[67/903] biohack44_day2 vs tb_lucario: biohack44_day2 6-0  (6 games, 1.1s, 0.18s/game)
[68/903] biohack44_day2 vs tb_rulecore: biohack44_day2 6-0  (6 games, 1.2s, 0.19s/game)
[69/903] biohack44_day2 vs tb_search: biohack44_day2 6-0  (6 games, 1.1s, 0.19s/game)
[70/903] biohack44_day2 vs tb_starmie: biohack44_day2 6-0  (6 games, 0.7s, 0.11s/game)
[71/903] biohack44_day2 vs wmh_alakazam: biohack44_day2 0-6  (6 games, 0.9s, 0.15s/game)
[72/903] biohack44_day2 vs wmh_bellibolt: biohack44_day2 2-4  (6 games, 1.8s, 0.30s/game)
[73/903] biohack44_day2 vs wmh_chandelure: biohack44_day2 4-2  (6 games, 1.4s, 0.23s/game)
[74/903] biohack44_day2 vs wmh_froslass: biohack44_day2 5-1  (6 games, 1.0s, 0.17s/game)
[75/903] biohack44_day2 vs wmh_garchomp: biohack44_day2 6-0  (6 games, 1.3s, 0.22s/game)
[76/903] biohack44_day2 vs wmh_grimmsnarl: biohack44_day2 6-0  (6 games, 1.4s, 0.23s/game)
[77/903] biohack44_day2 vs wmh_kangaskhan: biohack44_day2 6-0  (6 games, 1.3s, 0.21s/game)
[78/903] biohack44_day2 vs wmh_megastarmie: biohack44_day2 5-1  (6 games, 0.9s, 0.15s/game)
[79/903] biohack44_day2 vs wmh_mewtwo: biohack44_day2 5-1  (6 games, 1.2s, 0.20s/game)
[80/903] biohack44_day2 vs wmh_ogerpon: biohack44_day2 6-0  (6 games, 1.5s, 0.26s/game)
[81/903] biohack44_day2 vs wmh_trevenant: biohack44_day2 0-6  (6 games, 1.0s, 0.17s/game)
[82/903] biohack44_day2 vs wmh_typhlosion: biohack44_day2 0-6  (6 games, 0.7s, 0.11s/game)
[83/903] biohack44_day2 vs random_legal: biohack44_day2 6-0  (6 games, 0.5s, 0.08s/game)
[84/903] daniilkrasnovvv_conservative_prob vs daniilkrasnovvv_conservative_prob: daniilkrasnovvv_conservative_prob 2-0  (2 games, 0.5s, 0.27s/game)
[85/903] daniilkrasnovvv_conservative_prob vs jek1wantaufik_lucario: daniilkrasnovvv_conservative_prob 3-3  (6 games, 1.5s, 0.26s/game)
[86/903] daniilkrasnovvv_conservative_prob vs kiyotah_abomasnow: daniilkrasnovvv_conservative_prob 2-4  (6 games, 0.8s, 0.14s/game)
[87/903] daniilkrasnovvv_conservative_prob vs kiyotah_dragapult: daniilkrasnovvv_conservative_prob 2-4  (6 games, 1.4s, 0.24s/game)
[88/903] daniilkrasnovvv_conservative_prob vs kiyotah_iono: daniilkrasnovvv_conservative_prob 6-0  (6 games, 1.4s, 0.23s/game)
[89/903] daniilkrasnovvv_conservative_prob vs kojimar_lucario: daniilkrasnovvv_conservative_prob 3-3  (6 games, 1.3s, 0.21s/game)
[90/903] daniilkrasnovvv_conservative_prob vs makimakiai_rl: daniilkrasnovvv_conservative_prob 6-0  (6 games, 1.3s, 0.21s/game)
[91/903] daniilkrasnovvv_conservative_prob vs makthanithin_1084_baseline: daniilkrasnovvv_conservative_prob 3-3  (6 games, 1.5s, 0.25s/game)
[92/903] daniilkrasnovvv_conservative_prob vs makthanithin_improved_prob: daniilkrasnovvv_conservative_prob 3-3  (6 games, 1.5s, 0.25s/game)
[93/903] daniilkrasnovvv_conservative_prob vs mechi22_alakazam: daniilkrasnovvv_conservative_prob 1-5  (6 games, 1.2s, 0.20s/game)
[94/903] daniilkrasnovvv_conservative_prob vs pixiux_lucario_v63: daniilkrasnovvv_conservative_prob 4-2  (6 games, 1.1s, 0.18s/game)
[95/903] daniilkrasnovvv_conservative_prob vs plamen06_steel: daniilkrasnovvv_conservative_prob 3-3  (6 games, 1.2s, 0.20s/game)
[96/903] daniilkrasnovvv_conservative_prob vs pllinas_alakazam: daniilkrasnovvv_conservative_prob 1-5  (6 games, 6.9s, 1.16s/game)
[97/903] daniilkrasnovvv_conservative_prob vs prvsiyan_control_v11: daniilkrasnovvv_conservative_prob 3-3  (6 games, 1.7s, 0.28s/game)
[98/903] daniilkrasnovvv_conservative_prob vs prvsiyan_grimbelief_alakazam: daniilkrasnovvv_conservative_prob 6-0  (6 games, 1.8s, 0.30s/game)
[99/903] daniilkrasnovvv_conservative_prob vs romanrozen_strong_start: daniilkrasnovvv_conservative_prob 3-3  (6 games, 1.4s, 0.23s/game)
[100/903] daniilkrasnovvv_conservative_prob vs ryotasueyoshi_alakazam: daniilkrasnovvv_conservative_prob 3-3  (6 games, 1.3s, 0.22s/game)
[101/903] daniilkrasnovvv_conservative_prob vs tb_abomasnow: daniilkrasnovvv_conservative_prob 3-3  (6 games, 0.8s, 0.13s/game)
[102/903] daniilkrasnovvv_conservative_prob vs tb_alakazam: daniilkrasnovvv_conservative_prob 2-4  (6 games, 1.6s, 0.27s/game)
[103/903] daniilkrasnovvv_conservative_prob vs tb_archaludon: daniilkrasnovvv_conservative_prob 2-4  (6 games, 1.1s, 0.19s/game)
[104/903] daniilkrasnovvv_conservative_prob vs tb_dragapult: daniilkrasnovvv_conservative_prob 5-1  (6 games, 1.4s, 0.24s/game)
[105/903] daniilkrasnovvv_conservative_prob vs tb_heuristic: daniilkrasnovvv_conservative_prob 4-2  (6 games, 1.2s, 0.20s/game)
[106/903] daniilkrasnovvv_conservative_prob vs tb_iono: daniilkrasnovvv_conservative_prob 6-0  (6 games, 1.8s, 0.30s/game)
[107/903] daniilkrasnovvv_conservative_prob vs tb_lucario: daniilkrasnovvv_conservative_prob 6-0  (6 games, 1.6s, 0.27s/game)
[108/903] daniilkrasnovvv_conservative_prob vs tb_rulecore: daniilkrasnovvv_conservative_prob 6-0  (6 games, 1.4s, 0.24s/game)
[109/903] daniilkrasnovvv_conservative_prob vs tb_search: daniilkrasnovvv_conservative_prob 5-1  (6 games, 1.5s, 0.25s/game)
[110/903] daniilkrasnovvv_conservative_prob vs tb_starmie: daniilkrasnovvv_conservative_prob 6-0  (6 games, 0.5s, 0.08s/game)
[111/903] daniilkrasnovvv_conservative_prob vs wmh_alakazam: daniilkrasnovvv_conservative_prob 2-4  (6 games, 1.2s, 0.19s/game)
[112/903] daniilkrasnovvv_conservative_prob vs wmh_bellibolt: daniilkrasnovvv_conservative_prob 6-0  (6 games, 1.5s, 0.25s/game)
[113/903] daniilkrasnovvv_conservative_prob vs wmh_chandelure: daniilkrasnovvv_conservative_prob 5-1  (6 games, 0.8s, 0.13s/game)
[114/903] daniilkrasnovvv_conservative_prob vs wmh_froslass: daniilkrasnovvv_conservative_prob 4-2  (6 games, 1.1s, 0.18s/game)
[115/903] daniilkrasnovvv_conservative_prob vs wmh_garchomp: daniilkrasnovvv_conservative_prob 4-2  (6 games, 1.7s, 0.28s/game)
[116/903] daniilkrasnovvv_conservative_prob vs wmh_grimmsnarl: daniilkrasnovvv_conservative_prob 6-0  (6 games, 1.6s, 0.26s/game)
[117/903] daniilkrasnovvv_conservative_prob vs wmh_kangaskhan: daniilkrasnovvv_conservative_prob 5-1  (6 games, 1.3s, 0.21s/game)
